x;y;OBJECTID;Nombre_Ban;Este;Norte
281435.6095;2163249.99;282;JL;281435.6095;2163249.99
281384.7091;2163250.72;283;Jesús Anibal;281384.7091;2163250.72
281498.8138;2163182.119;284;JL;281498.8138;2163182.119
281206.2364;2163248.465;285;Beco;281206.2364;2163248.465
281307.177;2163176.369;286;JL;281307.177;2163176.369
281426.0719;2163095.972;287;Los Cibaos;281426.0719;2163095.972
281213.9534;2163089.255;288;Beco;281213.9534;2163089.255
281300.3028;2163327.265;289;Carlito Sport;281300.3028;2163327.265
281810.9999;2163416.277;290;Banca;281810.9999;2163416.277
281711.409;2163556.229;291;Los Cibaos;281711.409;2163556.229
281673.1524;2163267.363;292;D'Tony Banca;281673.1524;2163267.363
282159.3095;2164741.886;293;Chavez;282159.3095;2164741.886
282140.3602;2164780.428;294;Fey;282140.3602;2164780.428
282199.6468;2164519.83;295;Los Cibaos;282199.6468;2164519.83
282154.5782;2164819.01;296;OM;282154.5782;2164819.01
282179.0388;2164862.672;297;Jesús Anibal;282179.0388;2164862.672
282122.1494;2164853.84;298;Flamingo;282122.1494;2164853.84
282148.4613;2164894.379;299;Banca;282148.4613;2164894.379
282193.96;2164933.246;300;Loteka;282193.96;2164933.246
282091.0578;2164929.623;301;Real;282091.0578;2164929.623
280682.7182;2164069.704;302;Jesús Anibal;280682.7182;2164069.704
280547.8549;2164371.317;303;Loteka;280547.8549;2164371.317
280500.2684;2164436.786;304;Los Cibaos;280500.2684;2164436.786
278781.9018;2164561.754;305;Jesús Anibal;278781.9018;2164561.754
278674.9755;2164564.18;306;Chavez;278674.9755;2164564.18
278733.857;2164683.153;307;Banca;278733.857;2164683.153
278860.3656;2164719.684;308;OM;278860.3656;2164719.684
278642.6716;2164872.408;309;Fey;278642.6716;2164872.408
278478.2193;2164406.492;310;Chavez;278478.2193;2164406.492
278323.7523;2164120.722;311;Los Cibaos;278323.7523;2164120.722
278458.6487;2164011.538;312;Flamingo;278458.6487;2164011.538
281966.5074;2161094.202;313;Chavez;281966.5074;2161094.202
281992.4139;2161126.884;314;Jesús Anibal;281992.4139;2161126.884
282130.26;2161170.833;315;Los Cibaos;282130.26;2161170.833
282058.3947;2161217.877;316;banca;282058.3947;2161217.877
